,Odds ratio,Odds ratio 95% CI,p
offset,1.657e-05,"1.019e-05, 2.695e-05",0.0
PAT Area (cm2),1.067,"1.032, 1.104",0.0001411031453064097
Male?,1.8,"1.633, 1.984",2.4309686484235185e-32
Age (years),1.046,"1.04, 1.052",7.910784133931469e-54
BMI,1.179,"1.169, 1.189",4.2705097909918033e-305
